Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2021,YEAR,,STATE,CONNECTICUT,9,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2021,YEAR,,STATE,CONNECTICUT,9,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SQ FT IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2021,YEAR,,STATE,GEORGIA,13,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH AREA IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),2,(H)
CENSUS,2021,YEAR,,STATE,GEORGIA,13,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),2,(H)
CENSUS,2021,YEAR,,STATE,GEORGIA,13,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2021,YEAR,,STATE,GEORGIA,13,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SQ FT IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2021,YEAR,,STATE,HAWAII,15,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH AREA IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),2,98.7
CENSUS,2021,YEAR,,STATE,HAWAII,15,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),2,98.7
CENSUS,2021,YEAR,,STATE,HAWAII,15,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2021,YEAR,,STATE,HAWAII,15,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SQ FT IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2021,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH AREA IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),1,(H)
CENSUS,2021,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),1,(H)
CENSUS,2021,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2021,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SQ FT IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2021,YEAR,,STATE,KENTUCKY,21,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH AREA IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),3,(H)
CENSUS,2021,YEAR,,STATE,KENTUCKY,21,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),3,(H)
CENSUS,2021,YEAR,,STATE,KENTUCKY,21,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"4,524",(H)
CENSUS,2021,YEAR,,STATE,KENTUCKY,21,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SQ FT IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),255,(H)
CENSUS,2021,YEAR,,STATE,MAINE,23,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH AREA IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),17,36.6
CENSUS,2021,YEAR,,STATE,MAINE,23,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),17,36.6
CENSUS,2021,YEAR,,STATE,MAINE,23,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"59,291",71.3
CENSUS,2021,YEAR,,STATE,MAINE,23,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SQ FT IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"6,228",62.3
CENSUS,2021,YEAR,,STATE,MARYLAND,24,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH AREA IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),1,(H)
CENSUS,2021,YEAR,,STATE,MARYLAND,24,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),1,(H)
CENSUS,2021,YEAR,,STATE,MARYLAND,24,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2021,YEAR,,STATE,MARYLAND,24,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SQ FT IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2021,YEAR,,STATE,MASSACHUSETTS,25,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH AREA IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),1,(H)
CENSUS,2021,YEAR,,STATE,MASSACHUSETTS,25,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),1,(H)
CENSUS,2021,YEAR,,STATE,MASSACHUSETTS,25,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2021,YEAR,,STATE,MASSACHUSETTS,25,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SQ FT IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2021,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH AREA IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),8,67.4
CENSUS,2021,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),8,67.4
CENSUS,2021,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,639,036",(H)
CENSUS,2021,YEAR,,STATE,MICHIGAN,26,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SQ FT IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"139,332",(H)
CENSUS,2021,YEAR,,STATE,MINNESOTA,27,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH AREA IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),9,66
CENSUS,2021,YEAR,,STATE,MINNESOTA,27,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),9,66
CENSUS,2021,YEAR,,STATE,MINNESOTA,27,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"2,613,120",62.7
CENSUS,2021,YEAR,,STATE,MINNESOTA,27,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SQ FT IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"84,600",71.2
CENSUS,2021,YEAR,,STATE,NEVADA,32,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH AREA IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),1,(H)
CENSUS,2021,YEAR,,STATE,NEVADA,32,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),1,(H)
CENSUS,2021,YEAR,,STATE,NEVADA,32,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2021,YEAR,,STATE,NEVADA,32,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SQ FT IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2021,YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH AREA IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),6,55.8
CENSUS,2021,YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),6,55.8
CENSUS,2021,YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"9,500,000",73.1
CENSUS,2021,YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SQ FT IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,154,000",76.8
CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH AREA IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),5,72.7
CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),5,72.7
CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"80,006",(H)
CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SQ FT IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,603",(H)
CENSUS,2021,YEAR,,STATE,NEW YORK,36,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH AREA IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),22,52
CENSUS,2021,YEAR,,STATE,NEW YORK,36,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),22,52
CENSUS,2021,YEAR,,STATE,NEW YORK,36,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"471,962",66.5
CENSUS,2021,YEAR,,STATE,NEW YORK,36,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SQ FT IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"23,120",65.7
CENSUS,2021,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH AREA IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),9,77.4
CENSUS,2021,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),9,77.4
CENSUS,2021,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"252,200",95.6
CENSUS,2021,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SQ FT IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"10,188",95.5
CENSUS,2021,YEAR,,STATE,OHIO,39,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH AREA IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),1,(H)
CENSUS,2021,YEAR,,STATE,OHIO,39,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),1,(H)
CENSUS,2021,YEAR,,STATE,OHIO,39,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2021,YEAR,,STATE,OHIO,39,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SQ FT IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2021,YEAR,,STATE,OREGON,41,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH AREA IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),19,43.1
CENSUS,2021,YEAR,,STATE,OREGON,41,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),19,43.1
CENSUS,2021,YEAR,,STATE,OREGON,41,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"6,408,490",(H)
CENSUS,2021,YEAR,,STATE,OREGON,41,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SQ FT IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"382,177",(H)
CENSUS,2021,YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH AREA IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),16,26.2
CENSUS,2021,YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),16,26.2
CENSUS,2021,YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"95,407,571",46.4
CENSUS,2021,YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SQ FT IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"9,620,948",48
CENSUS,2021,YEAR,,STATE,RHODE ISLAND,44,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH AREA IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),2,87.7
CENSUS,2021,YEAR,,STATE,RHODE ISLAND,44,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),2,87.7
CENSUS,2021,YEAR,,STATE,RHODE ISLAND,44,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2021,YEAR,,STATE,RHODE ISLAND,44,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SQ FT IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2021,YEAR,,STATE,TEXAS,48,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH AREA IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),3,76.8
CENSUS,2021,YEAR,,STATE,TEXAS,48,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),3,76.8
CENSUS,2021,YEAR,,STATE,TEXAS,48,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"4,124,728",(H)
CENSUS,2021,YEAR,,STATE,TEXAS,48,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SQ FT IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
CENSUS,2021,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH AREA IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),11,35.1
CENSUS,2021,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),11,35.1
CENSUS,2021,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"504,680",53.4
CENSUS,2021,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SQ FT IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"41,639",52.3
CENSUS,2021,YEAR,,STATE,WISCONSIN,55,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH AREA IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),13,56.5
CENSUS,2021,YEAR,,STATE,WISCONSIN,55,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),13,56.5
CENSUS,2021,YEAR,,STATE,WISCONSIN,55,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,997,020",(H)
CENSUS,2021,YEAR,,STATE,WISCONSIN,55,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SQ FT IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"70,620",88
CENSUS,2019,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH AREA IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),129,13.2
CENSUS,2019,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),129,13.2
CENSUS,2019,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"161,387,492",23
CENSUS,2019,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SQ FT IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"10,561,392",24.7
CENSUS,2019,YEAR,,STATE,ARKANSAS,5,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH AREA IN PRODUCTION",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),2,67.9
CENSUS,2019,YEAR,,STATE,ARKANSAS,5,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - OPERATIONS WITH SALES",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),2,67.9
CENSUS,2019,YEAR,,STATE,ARKANSAS,5,,,,,,,0,,MUSHROOMS,"MUSHROOMS, ORGANIC - SALES, MEASURED IN $",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
